Timestamp,Time Shift (s),Point 0 x [m],Point 0 y [m],Point 1 x [m],Point 1 y [m],Point 2 x [m],Point 2 y [m],Point 3 y [m],Walking Speed [m/s],Step width [m],Step frequency [Hz],Weight [N],Reverse Direction,Cost Function Value,Normalized Cost Func
2019-04-24T210638-978Z,4.94,0.68943,1.877421,6.513844,1.271539,15.719055,1.195262,1.735735,1.28462,0.249027,1.803275,4647.157614,0,0.0002349,5.05E-08
2019-04-26T233800-973Z,2.06,0.68978,1.55,1.993805,1.114716,13.766143,1.625678,1.8,1.270723,0.145903,1.842215,2882.103371,1,0.000167908,5.83E-08
2019-04-25T011933-198Z,4.69,0.691427,1.792122,3.673706,1.154632,14.221463,0.38206,1.670858,1.274391,0.120566,1.731454,3171.875303,0,0.000201183,6.34E-08
2019-04-25T220844-170Z,5.64,0.691765,1.774559,3.287216,1.57524,13.510803,0.297628,1.680635,1.271669,-0.303849,1.773438,2761.789385,0,0.000152372,5.52E-08
2019-04-25T172119-670Z,5.71,0.693008,1.734183,3.450469,1.151294,15.065849,0.980723,1.8,1.459636,-0.00807,2.070076,2114.077602,0,0.000124358,5.88E-08
2019-04-25T152249-689Z,7.08,0.693279,1.581516,3.363558,0.973838,14.650963,1.037563,1.756996,1.410723,-0.153005,2.034856,2478.245809,1,0.000120845,4.88E-08
2019-04-25T183944-306Z,4.24,0.693974,1.796111,2.020108,1.40564,15.581375,1.313886,1.8,1.470347,-0.198531,1.954057,3255.607605,0,0.000162559,4.99E-08
2019-04-26T183258-408Z-sp,1.16,0.694973,1.865613,4.460468,1.453431,14.054325,1.375924,1.8,1.311421,-0.083541,1.887011,3245.185535,0,0.000187607,5.78E-08
2019-04-24T205032-354Z,4.61,0.695002,1.726403,4.260217,1.414313,15.8,1.367109,1.792914,1.213861,0.018756,1.746558,2676.132172,0,0.000159707,5.97E-08
2019-04-25T181841-660Z,3.61,0.695781,1.741881,2.679131,1.563549,15.56065,1.164854,1.78453,1.305698,-0.061995,1.876594,3145.882445,0,0.000169998,5.40E-08
